Aspect,Drainage_D,Amalner_El,Flow_Accum,Flow_Direc,Plan_,Profile_,Slope_Amal,SLF,Stream_Pow,TRI,TPI,TWI,HSG,SM,ndmi,Soil_Textu,pres_seaso,IBI,Building_D,NDISI,SAVi,AWEI,Land_Cover,Geo_,Critical_I,Road_Buffe,Feature_La,Distance_F,Population,X,Y,Target
-1,10,125,21,1,0,0,0.0059351,0.0004087,0.021753,0,-0.478238,14.7918997,4,660,-0.177704,1,217.6666667,0.119111776,33747700,0.156431,0.204097578,-0.000103715,3,6,0,1,3,3479.709961,8147.255616,21.0333948,75.053986,1
315.322998,64.0311966,126,12,32,0,0,1.08665,0.285537,2.2761199,0,0.0989004,9.0556803,4,660,-0.144797,1,217.6666667,0.124108704,23245400,0.152928,0.114763711,-0.000103219,2,6,0,1,3,2025.890015,8147.255616,21.0322629,75.0520958,1
-1,10,125,21,1,0,0,0.0059351,0.0004087,0.021753,0,-0.478238,14.7918997,4,660,-0.177704,1,217.6666667,0.119111776,33747700,0.156431,0.204097578,-0.000103715,3,6,0,1,3,3479.709961,8147.255616,21.0334094,75.0540093,1
44.8040009,127.2789993,125,8,1,0,0,1.0819401,0.241419,1.51083,1,-0.0011435,8.6923103,4,660,-0.177201,1,217.6666667,0.119058377,32630700,0.147086,0.074892665,-0.000082435,2,6,0,1,3,3557.350098,8147.255616,21.0337963,75.0511713,1
45.3263016,60,126,2,1,-0.48,0.8,2.1578801,0.557308,0.376792,2,0.657418,6.5222802,4,660,-0.110606,1,217.6666667,0.116395714,30811700,0.142204,0.110935359,-0.000102328,3,6,0,1,3,3535.689941,8147.255616,21.0334953,75.055112,1
-1,20,125,5,1,0,0,0.0027251,0.0000837,0.0023781,0,-0.003455,14.2708998,4,660,-0.115464,1,217.6666667,0.118603076,32763900,0.148281,0.134130807,-0.000110273,2,6,0,1,3,3237.699951,8147.255616,21.0330661,75.0530655,1
-1,10,125,7,1,0,0,0.0014884,0.0000436,0.0018184,0,-0.0021546,15.1633997,4,660,-0.109909,1,217.6666667,0.124487913,33577000,0.158038,0.09104069,-0.00009023,2,6,0,1,3,3232.219971,8147.255616,21.0331468,75.0532539,1
90.0503006,60,125,2,1,0,0.64,2.2946401,0.36838,0.801397,0,0.763671,6.8414602,4,660,-0.118331,1,217.6666667,0.121181501,31103800,0.151507,0.16554119,-0.000101221,3,6,0,1,3,2879.649902,8147.255616,21.032761,75.052521,1
91.524498,0,125,10,1,0,0,0.0052239,0.0002573,0.0091172,0,-0.0022916,14.2264004,4,660,-0.148949,1,217.6666667,0.120867094,34456000,0.14905,0.181873714,-0.000100885,3,6,0,1,3,3284.300049,8147.255616,21.0332542,75.0537295,1
359.9760132,78.1025009,127,1,64,1.28,-0.64,2.2890699,0.257754,0,2.2360699,-0.14966,6.49751,4,660,-0.169475,1,217.6666667,0.119702277,31997900,0.151103,0.208337172,-0.000102793,3,6,0,1,3,3748.25,8147.255616,21.0336482,75.0550084,1
359.9760132,70,127,1,64,1.28,-0.64,2.2890699,0.257754,0,2.2360699,-0.14966,6.49751,4,660,-0.169475,1,217.6666667,0.119702277,31997900,0.151103,0.148928903,-0.000101743,3,6,0,1,3,3535.689941,8147.255616,21.0335806,75.0550049,1
-1,120.4160004,125,5,1,0,0,0.0089823,0.0003945,0.0078384,0,0.0019616,13.0782003,4,660,-0.11682,1,217.6666667,0.127576567,40993900,0.148359,0.113168724,-0.00009363,3,6,0,1,3,3957.879883,8147.255616,21.0340755,75.0554619,1
-1,20,125,6,1,0,0,0.0049846,0.0001974,0.0052198,0,0.0008224,13.8212996,4,660,-0.115464,1,217.6666667,0.124487913,33495500,0.158038,0.084918178,-8.90575E-05,2,6,0,1,3,3232.219971,8147.255616,21.0330618,75.0531095,1
90.0425034,70,125,2,1,0,0.64,2.2818301,0.36571,0.796917,0,0.750183,6.8470602,4,660,-0.133461,1,217.6666667,0.133350984,32126700,0.162454,0.077299247,-8.94588E-05,2,6,0,1,3,2644.340088,8147.255616,21.0326582,75.0525625,1
90.0425034,60,125,2,1,0,0.64,2.2818301,0.36571,0.796917,0,0.750183,6.8470602,4,660,-0.118331,1,217.6666667,0.121181501,30902600,0.151507,0.16554119,-0.000101221,3,6,0,1,3,2879.649902,8147.255616,21.0327137,75.0525197,1
44.8040009,113.137001,125,8,1,0,0,1.0819401,0.241419,1.51083,1,-0.0011435,8.6923103,4,660,-0.183197,1,217.6666667,0.115456475,31617900,0.152459,0.162541452,-9.80725E-05,3,6,0,1,3,3551.02002,8147.255616,21.0337724,75.0512396,1
134.5420074,22.3607006,125,2908,1,0,0,1.07473,2.5304401,545.5230103,1,-0.0748516,14.4772997,4,660,-0.149369,1,217.6666667,0.124732555,32607500,0.160652,0.189067731,-9.08275E-05,3,6,0,1,3,3547.580078,8147.255616,21.0340455,75.0567086,1
134.5420074,31.6228008,125,2908,1,0,0,1.07473,2.5304401,545.5230103,1,-0.0748516,14.4772997,4,660,-0.149369,1,217.6666667,0.123551753,36647800,0.166398,0.189067731,-9.08275E-05,3,6,0,1,3,3547.580078,8147.255616,21.0340574,75.0566793,1
